

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

026.256  000.020  000.020: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ledger.vim
026.289  000.014  000.014: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/nix.vim
026.327  000.019  000.019: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ql.vim
026.371  000.024  000.024: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
026.406  000.014  000.014: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/surface.vim
026.439  000.013  000.013: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/teal.vim
026.474  000.016  000.016: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/yang.vim
026.507  000.013  000.013: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/zig.vim
028.009  014.052  013.089: sourcing /usr/local/share/nvim/runtime/filetype.vim
028.901  000.049  000.049: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
029.305  000.335  000.335: sourcing /home/elianiva/.config/nvim/after/ftplugin.vim
030.140  000.044  000.044: sourcing /usr/local/share/nvim/runtime/indent.vim
031.157  000.126  000.126: sourcing /usr/local/share/nvim/runtime/syntax/synload.vim
031.275  000.351  000.224: sourcing /usr/local/share/nvim/runtime/syntax/syntax.vim
034.863  000.303  000.303: sourcing /usr/local/share/nvim/runtime/plugin/gzip.vim
034.907  000.016  000.016: sourcing /usr/local/share/nvim/runtime/plugin/health.vim
035.028  000.098  000.098: sourcing /usr/local/share/nvim/runtime/plugin/man.vim
036.205  000.307  000.307: sourcing /usr/local/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
036.378  001.325  001.018: sourcing /usr/local/share/nvim/runtime/plugin/matchit.vim
036.632  000.203  000.203: sourcing /usr/local/share/nvim/runtime/plugin/matchparen.vim
037.296  000.639  000.639: sourcing /usr/local/share/nvim/runtime/plugin/netrwPlugin.vim
037.559  000.026  000.026: sourcing /home/elianiva/.local/share/nvim/rplugin.vim
